hour,day_of_week,is_school_day,is_arrival_time,is_dismissal_time,weather_condition,precipitation,visibility_level,road_id,start_node,end_node,num_lanes,speed_limit,distance_km,is_intersection,neighborhood_id,neighborhood_population,working_population_pct,students_population,distance_to_school_m,crosswalk_present,crossing_guard_present,traffic_volume,average_speed,congestion_level,accident_risk
0,0,1,0,0,rain,1,low,R0,N4,N0,1,40,1.22,0,N1,5253,0.51,542,1451,0,0,22,34.5,LOW,LOW
0,0,1,0,0,rain,1,low,R0,N4,N0,1,40,1.22,0,N3,3712,0.6,432,642,0,0,31,32.2,LOW,LOW
0,0,1,0,0,rain,1,low,R1,N3,N5,1,25,1.33,1,N0,8238,0.48,1159,1204,0,0,37,15.8,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R1,N3,N5,1,25,1.33,1,N5,7139,0.6,974,917,1,0,32,17.0,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R2,N5,N4,1,40,1.75,1,N1,5253,0.51,542,1942,1,0,29,32.8,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R2,N5,N4,1,40,1.75,1,N0,8238,0.48,1159,607,0,0,38,30.5,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R3,N1,SCHOOL,2,35,1.86,0,N1,5253,0.51,542,792,0,0,25,28.8,LOW,LOW
0,0,1,0,0,rain,1,low,R3,N1,SCHOOL,2,35,1.86,0,N4,3244,0.47,638,1305,0,0,12,32.0,LOW,LOW
0,0,1,0,0,rain,1,low,R4,N0,N3,2,25,2.61,0,N6,4628,0.63,1118,245,0,0,26,18.5,LOW,LOW
0,0,1,0,0,rain,1,low,R4,N0,N3,2,25,2.61,0,N5,7139,0.6,974,238,0,0,27,18.2,LOW,LOW
0,0,1,0,0,rain,1,low,R5,N6,N4,2,35,0.74,1,N2,3839,0.62,958,245,1,0,17,30.8,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R5,N6,N4,2,35,0.74,1,N0,8238,0.48,1159,1470,1,0,31,27.2,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R6,N3,N4,3,25,1.94,0,N4,3244,0.47,638,1204,0,0,27,18.2,LOW,LOW
0,0,1,0,0,rain,1,low,R6,N3,N4,3,25,1.94,0,N2,3839,0.62,958,597,1,0,20,20.0,LOW,LOW
0,0,1,0,0,rain,1,low,R7,N3,N2,2,40,1.03,0,N1,5253,0.51,542,489,1,0,33,31.8,LOW,LOW
0,0,1,0,0,rain,1,low,R7,N3,N2,2,40,1.03,0,N2,3839,0.62,958,1449,0,0,19,35.2,LOW,LOW
0,0,1,0,0,rain,1,low,R8,N5,N0,1,25,2.47,1,N1,5253,0.51,542,967,1,0,31,17.2,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R8,N5,N0,1,25,2.47,1,N3,3712,0.6,432,1869,1,0,29,17.8,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R9,N4,N1,1,35,0.87,1,N2,3839,0.62,958,224,0,0,17,30.8,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R9,N4,N1,1,35,0.87,1,N3,3712,0.6,432,1739,1,0,28,28.0,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R10,N6,N7,1,35,0.68,1,N3,3712,0.6,432,492,0,0,19,30.2,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R10,N6,N7,1,35,0.68,1,N5,7139,0.6,974,387,1,0,32,27.0,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R11,N6,N6,2,30,2.99,0,N0,8238,0.48,1159,670,0,0,37,20.8,LOW,LOW
0,0,1,0,0,rain,1,low,R11,N6,N6,2,30,2.99,0,N2,3839,0.62,958,1890,0,0,30,22.5,LOW,LOW
0,0,1,0,0,rain,1,low,R12,N7,N1,1,25,0.71,0,N5,7139,0.6,974,1754,1,0,28,18.0,LOW,LOW
0,0,1,0,0,rain,1,low,R12,N7,N1,1,25,0.71,0,N5,7139,0.6,974,1435,0,0,29,17.8,LOW,LOW
0,0,1,0,0,rain,1,low,R13,N6,N1,2,40,1.91,1,N6,4628,0.63,1118,1997,0,0,19,35.2,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R13,N6,N1,2,40,1.91,1,N5,7139,0.6,974,932,0,0,33,31.8,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R14,N4,SCHOOL,1,25,2.14,1,N1,5253,0.51,542,537,1,0,33,16.8,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R14,N4,SCHOOL,1,25,2.14,1,N4,3244,0.47,638,437,0,0,24,19.0,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R15,N5,N1,2,40,0.73,0,N5,7139,0.6,974,899,0,0,38,30.5,LOW,LOW
0,0,1,0,0,rain,1,low,R15,N5,N1,2,40,0.73,0,N2,3839,0.62,958,684,1,0,24,34.0,LOW,LOW
0,0,1,0,0,rain,1,low,R16,N4,SCHOOL,1,25,2.65,1,N4,3244,0.47,638,417,1,0,25,18.8,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R16,N4,SCHOOL,1,25,2.65,1,N4,3244,0.47,638,545,1,0,18,20.5,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R17,N3,N2,2,30,1.76,0,N3,3712,0.6,432,1631,0,0,17,25.8,LOW,LOW
0,0,1,0,0,rain,1,low,R17,N3,N2,2,30,1.76,0,N0,8238,0.48,1159,202,0,0,34,21.5,LOW,LOW
0,0,1,0,0,rain,1,low,R18,N5,N7,1,25,2.81,1,N7,7464,0.55,859,216,0,0,40,15.0,MEDIUM,MEDIUM
0,0,1,0,0,rain,1,low,R18,N5,N7,1,25,2.81,1,N2,3839,0.62,958,240,0,0,18,20.5,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R19,N3,N0,1,25,0.53,1,N5,7139,0.6,974,926,0,0,28,18.0,LOW,MEDIUM
0,0,1,0,0,rain,1,low,R19,N3,N0,1,25,0.53,1,N0,8238,0.48,1159,1285,0,0,27,18.2,LOW,MEDIUM
0,0,1,0,0,clear,0,high,R0,N4,N0,1,40,1.22,0,N0,8238,0.48,1159,1446,1,0,26,33.5,LOW,LOW
